ID,mese,annrif,progind,sesso,eta10,staciv4,reg,rip,istr4,condogg,posiz4,ateco3,cond4,ORARIO,RAPP,CODPROF7,progesc,DEST_EIE,DEST_ERE,DEST_EPR,MOTESC,PARTESC,NPARTESC,EMEZZO,TRIM
82,4,2014,639,2,3,2,80,2,4,3,1,3,3,0,0,4,1,1,8,39,8,1,2,5,2
83,4,2014,639,2,3,2,80,2,4,3,1,3,3,0,0,4,2,1,8,38,1,1,4,5,2
84,4,2014,639,2,3,2,80,2,4,3,1,3,3,0,0,4,3,1,8,37,9,1,4,5,2
85,3,2014,646,1,5,2,80,2,3,1,4,2,1,0,0,5,1,1,8,36,1,1,3,5,1
86,7,2014,681,2,5,3,50,2,2,1,2,2,1,1,2,5,1,1,5,23,1,2,1,5,3
87,7,2014,681,2,5,3,50,2,2,1,2,2,1,1,2,5,2,1,5,23,1,2,1,5,3
88,11,2014,685,1,6,2,170,4,2,1,2,1,1,1,2,6,1,1,16,72,6,1,3,5,4
89,8,2014,687,1,5,2,100,3,4,2,1,3,2,0,0,2,1,1,9,53,1,1,4,5,3
90,8,2014,688,1,5,2,30,1,2,1,2,3,1,1,2,6,1,2,125,0,2,1,3,2,3
91,1,2014,689,2,1,1,170,4,1,0,0,0,0,0,0,0,1,1,17,77,8,1,4,5,1
92,7,2014,695,2,4,1,20,1,4,1,2,3,1,2,1,4,1,2,200,0,1,1,2,6,3
93,4,2014,713,2,6,2,180,4,4,3,1,3,4,0,0,1,1,1,18,78,1,1,2,5,2
94,4,2014,713,2,6,2,180,4,4,3,1,3,4,0,0,1,2,1,18,78,1,1,2,5,2
95,11,2014,720,2,5,3,30,1,4,1,3,3,1,0,0,2,1,1,8,36,2,2,1,5,4
96,8,2014,723,1,2,1,30,1,2,1,2,2,2,2,1,6,1,1,3,15,2,2,1,5,3
97,1,2014,739,1,1,1,40,2,1,0,0,0,0,0,0,0,1,1,4,22,5,1,2,5,1
98,4,2014,740,1,5,2,10,1,3,1,4,3,1,0,0,4,1,1,1,1,2,1,2,5,2
99,6,2014,742,2,1,1,180,4,2,0,0,0,0,0,0,0,1,1,18,78,2,1,4,5,2
100,6,2014,756,1,1,1,190,5,1,0,0,0,0,0,0,0,1,1,19,87,6,1,5,5,2
101,6,2014,756,1,1,1,190,5,1,0,0,0,0,0,0,0,2,1,19,87,6,1,5,5,2
102,6,2014,762,1,5,1,110,3,4,3,4,3,2,0,0,2,1,1,11,44,1,2,1,5,2
103,6,2014,770,1,8,2,160,4,1,3,3,2,4,0,0,1,1,1,12,58,1,1,2,6,2
104,7,2014,796,1,1,1,150,4,1,0,0,0,0,0,0,0,1,1,15,63,5,1,4,5,3
105,8,2014,800,1,3,1,110,3,3,1,2,3,1,1,2,5,1,1,8,39,1,2,1,5,3
106,3,2014,804,2,5,2,50,2,2,1,2,3,1,2,2,4,1,1,5,27,4,1,2,2,1
107,2,2014,815,1,1,1,30,1,1,0,0,0,0,0,0,0,1,1,3,17,2,1,3,5,1
108,1,2014,836,1,3,2,60,2,3,1,2,3,1,1,2,5,1,1,8,34,1,2,1,5,1
109,11,2014,838,1,5,2,40,2,3,1,2,3,1,1,2,5,1,1,4,21,1,1,4,5,4
110,9,2014,859,2,3,2,50,2,3,1,1,2,3,1,2,2,1,1,5,23,2,1,3,5,3
111,9,2014,859,2,3,2,50,2,3,1,1,2,3,1,2,2,2,1,5,23,2,1,3,5,3
112,9,2014,859,2,3,2,50,2,3,1,1,2,3,1,2,2,3,1,5,24,1,1,3,5,3
113,9,2014,859,2,3,2,50,2,3,1,1,2,3,1,2,2,4,1,5,23,1,1,3,10,3
114,9,2014,859,2,3,2,50,2,3,1,1,2,3,1,2,2,5,1,5,23,1,1,3,5,3
115,8,2014,874,1,5,2,190,5,2,1,2,1,1,1,2,6,1,1,19,89,1,1,3,5,3
116,8,2014,901,2,5,2,90,3,3,3,1,3,3,0,0,2,1,1,9,52,1,1,2,5,3
117,11,2014,907,2,2,1,40,2,3,3,0,0,3,0,0,0,1,1,5,23,6,2,1,5,4
118,5,2014,911,1,1,1,150,4,1,0,0,0,0,0,0,0,1,1,15,61,6,1,5,5,2
119,1,2014,912,1,8,3,120,3,1,3,2,2,4,0,0,6,1,1,12,59,2,1,2,5,1
120,9,2014,919,1,3,1,80,2,2,1,2,2,1,1,2,5,1,1,3,19,2,2,1,5,3
121,9,2014,924,2,5,2,110,3,2,1,2,3,1,2,2,4,1,1,8,99,1,1,2,5,3
122,12,2014,942,1,3,1,20,1,4,1,1,3,1,1,2,2,1,2,125,0,1,2,1,5,4
123,6,2014,952,1,2,1,180,4,3,1,2,3,1,1,1,5,1,1,18,78,1,2,1,5,2
124,5,2014,956,2,2,1,80,2,2,3,0,0,3,0,0,0,1,1,12,58,3,1,5,6,2
125,6,2014,961,1,1,1,80,2,1,0,0,0,0,0,0,0,1,1,8,38,1,1,3,5,2
126,6,2014,961,1,1,1,80,2,1,0,0,0,0,0,0,0,2,1,8,37,1,1,3,5,2
127,8,2014,968,1,5,1,200,5,2,2,2,3,2,0,0,5,1,1,20,104,2,2,1,5,3
128,8,2014,968,1,5,1,200,5,2,2,2,3,2,0,0,5,2,1,20,104,2,2,1,5,3
129,8,2014,968,1,5,1,200,5,2,2,2,3,2,0,0,5,3,1,20,104,2,2,1,5,3
130,5,2014,973,1,1,1,90,3,1,0,0,0,0,0,0,0,1,1,9,49,1,2,1,6,2
131,7,2014,977,2,2,1,50,2,3,1,1,3,1,1,2,4,1,1,5,23,1,2,1,5,3
132,7,2014,977,2,2,1,50,2,3,1,1,3,1,1,2,4,2,1,5,23,1,2,1,5,3
133,7,2014,977,2,2,1,50,2,3,1,1,3,1,1,2,4,3,1,5,23,1,2,1,5,3
134,9,2014,991,1,1,1,110,3,1,0,0,0,0,0,0,0,1,1,11,42,1,1,4,5,3
135,8,2014,1015,1,5,2,110,3,2,1,2,2,1,2,2,5,1,1,8,99,1,1,3,5,3
136,5,2014,1026,1,1,1,70,1,1,0,0,0,0,0,0,0,1,1,5,999,4,2,1,6,2
137,1,2014,1052,1,7,2,30,1,3,3,1,3,4,0,0,2,1,1,5,23,1,1,2,5,1
138,1,2014,1052,1,7,2,30,1,3,3,1,3,4,0,0,2,2,1,5,23,1,1,2,5,1
139,7,2014,1102,1,1,1,10,1,1,0,0,0,0,0,0,0,1,1,1,1,8,1,4,5,3
140,4,2014,1122,2,6,2,50,2,2,1,4,2,1,0,0,4,1,1,5,26,1,1,2,9,2
141,4,2014,1122,2,6,2,50,2,2,1,4,2,1,0,0,4,2,1,5,24,1,1,2,9,2
142,6,2014,1135,1,1,1,80,2,1,0,0,0,0,0,0,0,1,1,8,36,1,1,5,5,2
